feedback_text,occurred_at,source,external_ref,rating,platform,source_url
就出一些神人角色，加强伞和长枪恶心人,2026-06-28T01:09:12+08:00,taptap_review,moment:820101155932605163,1,TapTap,https://www.taptap.cn/review/49279283
被朋友拉着入坑的，这沙子游戏我真的不想说啥了，充了快3千，体验是一点没升的，爆率啥的低的离谱，多对也是一堆挂不封的，nmd官方你继续恶心我,2026-06-28T01:11:24+08:00,taptap_review,moment:820101708406328191,1,TapTap,https://www.taptap.cn/review/49279354
连续三把了，开完全关，撤离不了一点，我真求求了,2026-06-28T01:11:55+08:00,taptap_review,moment:820101839880981602,4,TapTap,https://www.taptap.cn/review/49279365
频道笑死我了谁懂去贵州频道有多抽象,2026-06-28T01:41:06+08:00,taptap_review,moment:820109183826266359,5,TapTap,https://www.taptap.cn/review/49280277
官方你能不能把资源调高一点啊？尤其是经受物之日，别总是拿一两万的资源来糊弄这些玩家。一两万的小金能不能取消了，改成紫色物品,2026-06-28T01:51:57+08:00,taptap_review,moment:820111911646397308,1,TapTap,https://www.taptap.cn/review/49280629
太棒了太棒了，这游戏每次十连就出金皮，玩就对了,2026-06-28T02:13:15+08:00,taptap_review,moment:820117274554794079,5,TapTap,https://www.taptap.cn/review/49281238
有段时间没玩了没想到爆率这么高[表情_开心],2026-06-28T02:13:24+08:00,taptap_review,moment:820117313184337566,5,TapTap,https://www.taptap.cn/review/49281245
定叫他好评如潮，充了五百感觉打水漂了,2026-06-28T02:50:00+08:00,taptap_review,moment:820126523603288936,1,TapTap,https://www.taptap.cn/review/49282243
拉完了，我从内测开始玩的，腿毛没我玩的久别贴脸😂😂😂，火的莫名其妙抄的理直气壮，⭕的琳琅天上，谁还玩我真笑他一辈子（已退游）😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2026-06-28T02:56:03+08:00,taptap_review,moment:820128045556829838,1,TapTap,https://www.taptap.cn/review/49282373
多队挂🐶泛滥，不会改就知道上你那死皮肤🙄,2026-06-28T03:32:09+08:00,taptap_review,moment:820137128456357384,1,TapTap,https://www.taptap.cn/review/49283044
有点难,2026-06-28T03:33:58+08:00,taptap_review,moment:820137585530635463,3,TapTap,https://www.taptap.cn/review/49283082
"游玩时间：2025.8.01，距离现在过去331天
入坑兴趣：在之前《代号：超自然》的旧时期版本听过此游戏，画风单一，没有过多元素。但是带着恐怖的口号，还是一直想尝试。直到2025年版本大更新，画风突变，卡通风格，带着寻宝恐怖、搜打撤的标签，我入坑了《超自然行动组》。另外，我还有个人爱好。2025年更新了腰包和格外背包，我是一名“收藏家”道具吸引我尝试这款游戏。
《超自然行动组》
初始画风：结伴而行探索。在精神层面，吸引玩家尝试并运用从众心理。吸引游客。拉入游戏下载量。
游戏新手教程：输入账号密码后，牛马npc口齿不清，玩家揣测议论纷纷。还请制作中更改为普通话作为传播途径。仅管有文字介绍但是表达是更充分的有利条件，说一次话、看一次故事加深人的脑海。基础介绍操作系统，npc牛马手把手指导，没有正确认识操作步骤，其余按键无响应。无论是第一次接触游戏还是一次、两次让玩家做好复习操作，值得认可。
正式接触游玩感受:以蜀道入口地图为起点，初步介绍并概括玩家目的性。达到指定金额撤离。
时间记录发现货币膨胀，玩法枯燥无味：货币膨胀：游戏中搜集素材可以通过撤离的方式转换成“铲铲币”将物品或回收物带出，并在“商店”进行售卖，铲铲币使用途径仅仅购买道具和梦居“抽奖系统”关念重复长此以往，货币积累多。还会让玩家因为高度重复失去本性中的判断力，并不是一款游戏该值得做的方式，增加互动性，趣味性。让游戏“活起来”让玩家活出自我感受培养学习兴趣增加消费方式：",2026-06-28T03:57:50+08:00,taptap_review,moment:820143594290547973,3,TapTap,https://www.taptap.cn/review/49283433
"玩过最没意思的游戏，外挂是满天飞的，游戏平衡是丝毫不管的，钱是要往死里圈的，AI是一直用的。玩了一年多，亲眼见证一款游戏是怎么变得离死不远的。
叠甲:S3赛季入坑的，算是早期玩家，氪条7k，不算很少我认为我也有资格评价。
开服立的听劝人设，现在也是圈够钱了就丢，角色和武器是要圈钱就加强，圈够了就削，一些老员工要加强是丝毫听不进去的，对局平衡也是做得稀烂，能做到每个人都不满意，建模也是越做越丑，为了圈钱鬼点子倒是很多，早期的泽引山海放到现在估计加点特效可以直接当幻梦卖，皮肤根本配不上实际的价格，一款ai融的皮肤要价可以到521，1000，甚至1500，2000，这钱会不会太好赚了一点？还有新年时期，累充不预告，更是背刺皮肤一出就拿下的氪佬，好运榜给的翅膀皮肤只有一百八十天，想圈钱的心思太明显。
不出红绿分流外挂也是一样猖獗，游戏风气也是稀烂，给挂哥画同人魅挂都来了，正常教学对抗挂哥的视频也是有一堆为挂哥赋魅，贬低绿玩，在游戏里找红玩带的更是多，一款游戏能做到这样的地步还是尽早倒闭吧",2026-06-28T05:09:46+08:00,taptap_review,moment:820161695946115943,1,TapTap,https://www.taptap.cn/review/49284105
超自然很贴心我破产了他都给我这些,2026-06-28T07:46:03+08:00,taptap_review,moment:820201026517730647,5,TapTap,https://www.taptap.cn/review/49285293
很好玩，就是有点卡,2026-06-28T07:55:46+08:00,taptap_review,moment:820203471318811136,5,TapTap,https://www.taptap.cn/review/49285428
