feedback_text,occurred_at,source,external_ref,rating,platform,source_url
拉完了呀，简直就是一坨，爆率一坨,2026-07-12T00:03:05+08:00,taptap_review,moment:825157946479477904,1,TapTap,https://www.taptap.cn/review/49576605
"不知道这是什么～
可以卖掉吗？",2026-07-12T00:27:31+08:00,taptap_review,moment:825164094242817419,5,TapTap,https://www.taptap.cn/review/49576853
爆率飘忽不定,2026-07-12T00:32:18+08:00,taptap_review,moment:825165296670082746,3,TapTap,https://www.taptap.cn/review/49576914
"整体的话感觉还行，但是可玩度不是很高，很容易无聊，如果没有朋友一起玩的话，还有就是官方圈钱有点严重
四队的话挂比较多，喜欢摸金的话就还行，希望绿玩多一点，也希望官方好好修一下iOS闪退问题，喜欢抓怪的话蛮推荐的，因为很多怪都蛮可爱的
年纪小的孩子最好不要玩，不要被里面的风气所影响，还有很多成年人，请管好自己
最后是充钱，还是那一句，理性消费，我玩了这么久也氪了不少，我身边朋友也充了很多，不要相信什么下一发肯定出，其实更容易保底
最后希望大家天天开心",2026-07-12T00:35:48+08:00,taptap_review,moment:825166178044350041,5,TapTap,https://www.taptap.cn/review/49576957
其实我并不想打这么高的，但我觉得这个游戏给我带来一些改变我的事。我是个性格比较内向的，从来不会主动交朋友，但自从我打了几把四队后被一个人缠上了，他很热情，就算我打的菜他也从不讲什么，还总是主动找我玩，有次我看见他在组队里就想和他一起玩，但我又不好意思开口，然后我等了好久，他也没拉我，然后我想着反正都只是网上认识的朋友，豁出去了，我发了消息给他说我想和他一起玩，然后他就拉我进组队一块玩了，那时候的四队很和谐，碰见个挂都惊讶的发网上，后来我认识了几个他的朋友，他们打的都很厉害，我那时在心里发誓我有一天变历害也要带飞他们，但后来外挂开始多了起来，有个打的很厉害的有点破防，因为他是我们当中最历害的，之前一直都是他带我们，于是他也开了，以暴制暴，外挂时期持续了好几个月，那时挂多的都不敢打四队，那时刚出门就下子弹雨，几乎几秒就死了，但除了四队摸金也有很多挂，然后就有了很多人退游，我那时也担心朋友退游，但我多虑了，因为挂，我朋友他苦练飞天，在里面我是最菜的了，为了不拖后腿，我从一开始的主玩阿念到了一直玩莉莉挂他身上，虽然现在没挂了，但总感觉没以前那味了，有点想回到以前了,2026-07-12T00:46:08+08:00,taptap_review,moment:825168781243318386,5,TapTap,https://www.taptap.cn/review/49577053
说好的零容忍是零在容忍吗？我从魔盒S2玩到现在，前几个月玩的时候确实挺好玩的，官方也听劝，现在成啥了？皮肤出的越来越勤，打击外挂就发个视频游戏里就封几个小时或者一两天，真贴心，挂哥打累了还知道让它休息。四队一堆杀戮光环和自瞄，碰到直接速溶，外挂玩家还能反过来骂绿玩，这就是零容忍？游戏现在这么火，不维持一个好口碑让它继续火下去吗？。,2026-07-12T00:46:18+08:00,taptap_review,moment:825168822628519607,3,TapTap,https://www.taptap.cn/review/49577057
哎我真的不行啊，能不能加强血量或者削弱怪物伤害啊说实话，就员工这个血量怪物摸两下就死了，身上带一堆摸金符和道具也很重诶，手法什么的，手机不太行的话玩的容易花屏。。能不能优化一下手感？不是说你不能出皮肤，但是出皮肤速度比更新速度还快，一个皮肤我两三个月没上线，一看他还在。还有那个皮肤池子，说坏吧，一抽他只要一块，说好吧，第二抽6块，三抽12块，第四抽30块，每个池子保底还不共享，想要出新的就会重新叠，大部分人纯非洲人模拟器来的，池子里还有动作挂件，还有员工牌子这种概率很大的。那不买皮肤行了吧，那个爬山模拟器确实拉垮都爆炸了什么手感啊？爬半天一个地方也上不了。那个非对称对抗，抄，你给我抄好了啊！先不说你抄吧，你至少能做一个正常的玩起来能顺畅一点的，皮肤是一堆一堆出的，问题，是都不改的，玩了这么久，再上线也很红温。能不能搞点创新？主打就是摸金，那摸金到是优化好呀。[表情_汗],2026-07-12T00:47:47+08:00,taptap_review,moment:825169194126411769,2,TapTap,https://www.taptap.cn/review/49577066
土豆服务器好秀啊，好秀啊，好秀啊，垃圾服务好棒啊，好棒啊，好棒啊，土豆服务器，贪那么多钱一点不管， 神经刷怪机制好帅啊，直接刷在脚下，一下带走，真是太棒了，新怪物真是太棒了，一点都不恶心，我一点也不心寒，我一点也不心疼我充的钱，一点也不心疼我的账号， 还联动鬼吹灯，也不怕致命公司直接上门起诉🙄🙄🙄🙄🙄🙄,2026-07-12T00:49:10+08:00,taptap_review,moment:825169541553196338,2,TapTap,https://www.taptap.cn/review/49577079
气死我了，我的天下第一剑经过鉴定之后变成了法棍怎么能这么阴呀？还有我的鬼洗鉴定之后变成了土拨鼠玉玺，气死我了，气死我了，气死我了，气死我了，气死我了，气死我了，气死我了，气死我了，气死我了，气死我了。为什么能这么阴呀？气死我了，气死我了，气死我了。,2026-07-12T00:55:17+08:00,taptap_review,moment:825171083081549025,1,TapTap,https://www.taptap.cn/review/49577127
穷死了,2026-07-12T01:32:55+08:00,taptap_review,moment:825180552582662295,1,TapTap,https://www.taptap.cn/review/49577458
"🎮可玩性：
一个新地图里面加一堆老怪物就无法理解 本来新怪就恶心的要死感觉像是在一个地图里面强塞了一堆怪 你的意思是我玩个地图不仅要带长枪打荆棘 还要拿扇子或桃木剑打鬼新娘 还得拿枪或鞭子打木偶 

🔖运营服务：
皮肤是必出的，排期是不管的 你超自然叔叔依旧哪个角色火 哪个角色更能赚钱就给哪个角色出皮肤 超自然你的听劝人设早就塌了 外挂也不管 红玩把把乱杀你不封 绿玩杀了几个你就给封了😂还有那个无心，杀人就回复技能 本来就四队就难打 还得防这些隐身的无心😂一个恐怖中式摸金手游搞成这样

✍🏻建议：
能不能听听玩家建议少捣鼓你那破皮肤，地图是不改进的 角色强度是不调整的",2026-07-12T02:03:58+08:00,taptap_review,moment:825188369460887628,1,TapTap,https://www.taptap.cn/review/49577662
"玻璃心/护官/心理素质低 我劝你赶紧划走
当前更新了一堆花里胡哨的武器，挂比正常玩家都多，思想和风气都在败坏，甚至出现大片的灰色地带，哪里提的上一点可玩性?
还有某些玩家在网络上肆无忌惮，脏话连篇，像动物一般无法自控没有言语边界感，没有社会观念危机意识，其实就是三观不全，和正常人语言不和，现实没本事就来污染网络还能吸引心理bt的关注，悟力极差（不论男女老少），都准备一生在游戏里啃老，执迷不悟依旧沉浸在自己的世界里，营造一种阿猫阿狗的小型社会氛围。
24年9月还是10月底来着我趁着初中放假参与测试，当时游戏玩法十分简朴，只是摸金模式和pvp（四队），地图也不过是入口和古蜀两种，玩家也不多，直至25年1/2月也才几十w人试玩。毕竟是几个大学生起手的小本生意，我并没有抱有多少期望，我断定它连人气覆盖全国都不可能。
因为很早就摸清游戏的套路，超自然无非就是急于求成，魔盒皮肤奖池库库上线，皮肤建模都不想多看几眼直接上传，想迅速回本获取一定利润。我25年其实是出于对这种游戏很上瘾的状态，每天都想着摸金，今年因为对摸金的新鲜感淡去了（持续摸金大概1年），四队也很吸引我今年2月我当然不会傻到直接氪金，因为自己的老玩家账号一分没充，全靠技术玩，人想退坑总会觉得游戏食之无味弃之可惜，我选择了另一种快速让自己感到腻得慌的方式，买全皮号，点几次技术陪玩，除了目前上线了的与其他游戏相似度极高的玩法，超自然也不过保留着一两种不同于国内其他传统的玩法。
如此多的武器和玩法层出不穷，肯定是新的一批玩家来了，老玩家都怀念曾经离开了。
有些人老潮了，很跟得上时代啊，还流行对彼此说“你好唐”“居然还有免费”“冯飞了”“细节91/78”“好润”各种我听不懂的前卫语言呢[表情_开心]真是高深，精明啊
人性化模式：
地图和摸金范围目前在不断更新扩大，游戏团队发展人力资源，皮肤也在不断制作中，由于官方为了玩家体验更佳，bug没改，开挂的不封，pvp流传着红绿分流的传统，能赚钱就都好说😃，我几个月苦练技术最后被挂和很阴的玩家击败，直到进入真正的平静期，对别的游戏都提不上兴趣，戒掉了我的游戏瘾，制作组十分的勤恳和用心呢，与此同时给不少玩家们带来了一些深刻的感悟，玩家们十分感动，如此多的玩家支持肯定是不缺我这一个，官方肯定也很放心。
万氪全皮号和其余小号都低价回收了，留着买18pro/做美容护肤，现在还整了几w的正畸治疗，正朝着变得更好的方向前进，Geez.是有多想不开才会充钱给这等吃相难看的货色，什么垃圾游戏 Shut the f💩ck up，不配出现在我的图库",2026-07-12T02:33:27+08:00,taptap_review,moment:825195787624384229,1,TapTap,https://www.taptap.cn/review/49577820
"Ok啊，那些小糖蛋就别说打不过了[表情_捂脸哭]没实力就去练[表情_捂脸哭]我超自然也有一年了[表情_捂脸哭]本人也是很照顾小萌新的[表情_捂脸哭]破产了可以来找我[表情_大笑]我有时间可以带你打[表情_捂脸哭][表情_捂脸哭][表情_捂脸哭]
（工号：18852620）
（加好友说明来意）",2026-07-12T04:01:57+08:00,taptap_review,moment:825218058166470030,5,TapTap,https://www.taptap.cn/review/49578176
回调头像冷却啊 神经病,2026-07-12T04:11:03+08:00,taptap_review,moment:825220350349410780,1,TapTap,https://www.taptap.cn/review/49578204
给你打个六颗星，为什么那么多小孩和忘本？迷惑人更多，自己做错事，还反过来骂别人，？你的实名认证系统就不能和腾讯一样吗？就知道整个框架在那里，只要17位数就可以实名认证登陆超自然😂做的跟屎一样，天天出皮肤，怎么我们很有钱是吗？你知道一堆小孩为了皮肤偷家里钱偷偷抽游戏吗？,2026-07-12T04:40:31+08:00,taptap_review,moment:825227763114836122,1,TapTap,https://www.taptap.cn/review/49578287
"超级好玩  能不能给我们出多点免费的皮肤，不然就那些零氪的不公平

🎮可玩性：",2026-07-12T04:53:12+08:00,taptap_review,moment:825230954602695358,5,TapTap,https://www.taptap.cn/review/49578308
什么时候出皮肤共享,2026-07-12T05:15:10+08:00,taptap_review,moment:825236485216145242,5,TapTap,https://www.taptap.cn/review/49578358
匹配机制太逆天了,2026-07-12T05:53:04+08:00,taptap_review,moment:825246021712873375,4,TapTap,https://www.taptap.cn/review/49578435
"垃圾游戏，全部都是挂，钱还坑的多，我一个从爱丽丝金皮开始玩的老玩家，氪了6000以上。
第一，皮肤价格越出越高，从50和128还返金砖的皮肤，演变为了1000多的皮肤，价格越来越高，东西越来越贵。
第二，四队外挂满天飞，靠近就死，站在那里就死等等等等，你有时间弄皮肤圈钱，没时间多管管外挂？你到底要干嘛？不打算长期做了吗？啊？不干了吗？在这种时候，你连外挂都管不了，你还出只有四队才能拿到的金，是鼓励大家开挂吗？你最少最基本的要管管好吧？
第三，伪人局报队友那么久，说了那么久，反馈那么久，甚至还有的人的名字叫“爱好辱女”我问问你，超自然，你真的不管了吗？你真的不是男性向游戏吗？你这种人都不封吗？每把都报队友，那就只能玩摸金，四队还有挂，你觉得不单一吗？别的模式真的赚钱好玩吗？你一直在冷落！你真的看不到吗？！
第四，鬼屋一群炸房的，不管什么房都直接进来骂人，我还见过有人说房主之类的是嫖娼的，你不管了吗？连举报键都没有了，你眼里只有钱了吗？污言秽语到处都是。
第五，公屏还有的账号一直在弄黄片，你这个又不是情趣网站，为什么不封号？为什么！你头像看不出来吗？简直就是一个恶俗的游戏。
第七，摸金挂，我们玩那么久结果还不如别人开挂的多，你觉得公平吗？我们举报不了，举报了你也不封号。你有钱出皮肤，没钱管这些吗？连游戏环境都不要了吗？

✍🏻建议：赶紧管管你的外挂，黄片，污言秽语，还有账号名字",2026-07-12T08:10:54+08:00,taptap_review,moment:825280708799890643,1,TapTap,https://www.taptap.cn/review/49578797
